Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,23033.41379310345
1_1_2012-11-09,28192.2183908046
1_1_2012-11-16,30134.57471264368
1_1_2012-11-23,22656.16091954023
1_1_2012-11-30,50492.333333333336
1_1_2012-12-07,26006.83908045977
1_1_2012-12-14,26307.793103448275
1_1_2012-12-21,26638.896551724138
1_1_2012-12-28,21993.379310344826
1_1_2013-01-04,23036.03448275862
1_1_2013-01-11,22411.183908045976
1_1_2013-01-18,26146.919540229886
1_1_2013-01-25,26013.80459770115
1_1_2013-02-01,25167.97701149425
1_1_2013-02-08,31664.563218390806
1_1_2013-02-15,33966.2183908046
1_1_2013-02-22,29805.793103448275
1_1_2013-03-01,21041.908045977012
1_1_2013-03-08,21410.436781609194
1_1_2013-03-15,30201.724137931036
1_1_2013-03-22,37138.793103448275
1_1_2013-03-29,31377.80459770115
1_1_2013-04-05,25713.25287356322
1_1_2013-04-12,21972.32183908046
1_1_2013-04-19,22105.632183908045
1_1_2013-04-26,22304.367816091955
1_1_2013-05-03,32907.379310344826
1_1_2013-05-10,24632.51724137931
1_1_2013-05-17,38646.6091954023
1_1_2013-05-24,16745.954022988506
1_1_2013-05-31,17186.827586206895
1_1_2013-06-07,17389.862068965518
1_1_2013-06-14,17258.96551724138
1_1_2013-06-21,16492.758620689656
1_1_2013-06-28,16505.172413793105
1_1_2013-07-05,17094.80459770115
1_1_2013-07-12,16963.298850574713
1_1_2013-07-19,16983.83908045977
1_1_2013-07-26,16246.632183908046
1_2_2012-11-02,48375.51724137931
1_2_2012-11-09,47985.1724137931
1_2_2012-11-16,48810.35632183908
1_2_2012-11-23,51926.73563218391
1_2_2012-11-30,53324.574712643676
1_2_2012-12-07,49518.02298850575
1_2_2012-12-14,45231.816091954024
1_2_2012-12-21,46621.597701149425
1_2_2012-12-28,46211.057471264365
1_2_2013-01-04,47575.9540229885
1_2_2013-01-11,46238.7816091954
1_2_2013-01-18,44494.574712643676
1_2_2013-01-25,51116.45977011494
1_2_2013-02-01,51454.8275862069
1_2_2013-02-08,51098.03448275862
1_2_2013-02-15,47948.89655172414
1_2_2013-02-22,47928.55172413793
1_2_2013-03-01,46121.26436781609
1_2_2013-03-08,47191.12643678161
